no;nama;kbli;latitude;longitude;alamat;prov_nama;prov_id;kako_nama;kako_id;kategori_kbli;kategori_nama;golongan_kbli;golongan_nama
29;PR Aini Surya;10216;0,1261381;117,4703638;Gn Tambora Hop II No 50 Komp pt badak, Satimpo, Bontang Selatan, Kota Bontang, Kalimantan Timur;KALIMANTAN TIMUR;64;KOTA BONTANG;6474;C;Industri Pengolahan;10;Industri Makanan
30;PR Ahdita Tri Fahriza;10216;-1,2486807;116,8675727;jl agung tunggal RT 11 No 168, Desa/Kelurahan Damai Baru, Kec. Balikpapan Selatan, Kota Balikpapan, Provinsi Kalimantan Timur, Damai Baru, Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur;KALIMANTAN TIMUR;64;KOTA MANADO;7171;C;Industri Pengolahan;10;Industri Makanan
31;PR Albanna Food;10216;0,5743785;123,1137407;Desa permata kecamatan tilongkabila, Permata, Tilongkabila, Kabupaten Bone Bolango, Gorontalo;GORONTALO;75;KABUPATEN BONE BOLANGO;7504;C;Industri Pengolahan;10;Industri Makanan
32;PR Ade Saputra Jamil Aceh;10219;1,2638546;97,2450477;DUSUN II WALO, Afulu, Afulu, Kabupaten Nias Utara, Sumatera Utara;SUMATERA UTARA;12;KABUPATEN NIAS UTARA;1224;C;Industri Pengolahan;10;Industri Makanan
33;PR Agnes Eka Pratiwi;10219;-3,9893309;105,3306814;Brabasan, Brabasan, Tanjung Raya, Kabupaten Mesuji, Lampung;LAMPUNG;18;KABUPATEN MESUJI;1811;C;Industri Pengolahan;10;Industri Makanan
34;PR Abon Desa;10219;1,4557558;125,1257432;Perum Edelweis Blok C 39, Girian Permai, Girian, Kota Bitung, Sulawesi Utara;SULAWESI UTARA;71;KOTA BITUNG;7172;C;Industri Pengolahan;10;Industri Makanan
35;PR Afrida Bombing;10219;-2,7088866;134,5643159;Kampung Wasior II, Wasior II, Wasior, Kabupaten Teluk Wondama, Papua Barat;PAPUA BARAT;91;KABUPATEN TELUK WONDAMA;9103;C;Industri Pengolahan;10;Industri Makanan
36;PR Demarce Worengga;10219;-2,703374;134,5266466;kampung moru, Moru, Wasior, Kabupaten Teluk Wondama, Papua Barat;PAPUA BARAT;91;KABUPATEN TELUK WONDAMA;9103;C;Industri Pengolahan;10;Industri Makanan
37;PR Esriyani;10219;-2,7088866;134,5643159;"WASIOR	KAMPUNG, Wasior II, Wasior, Kabupaten Teluk Wondama, Papua Barat";PAPUA BARAT;91;KABUPATEN TELUK WONDAMA;9103;C;Industri Pengolahan;10;Industri Makanan
38;PR Ai Hayati;10219;-2,0931347;133,6711099;BANJAR AUSOY, Banjar Ausoy, Manimeri, Kabupaten Teluk Bintuni, Papua Barat;PAPUA BARAT;91;KABUPATEN TELUK BINTUNI;9104;C;Industri Pengolahan;10;Industri Makanan
39;PR Amsya Refideso;10219;-2,8634221;133,8482142;Warga Nusa II, Warga Nusa II, Kaitaro, Kabupaten Teluk Bintuni, Papua Barat;PAPUA BARAT;91;KABUPATEN TELUK BINTUNI;9104;C;Industri Pengolahan;10;Industri Makanan
40;PR Ariesta Suba;10219;-1,5101458;134,1939757;"KAMPUNG	ABRESSO, Abreso, Ransiki, Kabupaten Manokwari Selatan, Papua Barat";PAPUA BARAT;91;KABUPATEN MANOKWARI SELATAN;9111;C;Industri Pengolahan;10;Industri Makanan
41;PR Azzrielly Julika Krey;10219;-1,3068935;134,1815176;"KAMPUNG	SIDOMULYO, Sidomulyo, Oransbari, Kabupaten Manokwari Selatan, Papua Barat";PAPUA BARAT;91;KABUPATEN MANOKWARI SELATAN;9111;C;Industri Pengolahan;10;Industri Makanan
42;PR Betty Emilia Seeum;10219;-1,3178121;134,2407933;Kampung Waroser, Waroser, Oransbari, Kabupaten Manokwari Selatan, Papua Barat;PAPUA BARAT;91;KABUPATEN MANOKWARI SELATAN;9111;C;Industri Pengolahan;10;Industri Makanan
43;PR Ema Wamea;10219;-1,515936;134,181518;kampung abreso, Abreso, Ransiki, Kabupaten Manokwari Selatan, Papua Barat;PAPUA BARAT;91;KABUPATEN MANOKWARI SELATAN;9111;C;Industri Pengolahan;10;Industri Makanan
44;PR NUR HIDAYAH;10219;-0,884433;131,2894768;JL. RAJAWALI, Malaingkedi, Malaimsimsa, Kota Sorong, Papua Barat Daya;PAPUA BARAT DAYA;92;KOTA SORONG;9271;C;Industri Pengolahan;10;Industri Makanan
45;PR OLIVIA K FONATABA;10219;-0,8996963;131,3062445;Jl kanal victory, Malawei, Sorong Manoi, Kota Sorong, Papua Barat Daya;PAPUA BARAT DAYA;92;KOTA SORONG;9271;C;Industri Pengolahan;10;Industri Makanan
46;PR Beatrik Randongkir;10219;-1,1655209;136,0878725;pondok indah samofa, Samofa, Samofa, Kabupaten Biak Numfor, Papua;PAPUA;94;KABUPATEN BIAK NUMFOR;9409;C;Industri Pengolahan;10;Industri Makanan
47;PR Anthonia Kaisiri;10221;-2,1219969;133,5703058;Kampung Wassowi, Bintuni Timur, Bintuni, Kabupaten Teluk Bintuni, Papua Barat;PAPUA BARAT;91;KABUPATEN TELUK BINTUNI;9104;C;Industri Pengolahan;10;Industri Makanan
48;PR Farida Nawarisa;10221;-2,1219969;133,5703058;tahiti, Bintuni Timur, Bintuni, Kabupaten Teluk Bintuni, Papua Barat;PAPUA BARAT;91;KABUPATEN TELUK BINTUNI;9104;C;Industri Pengolahan;10;Industri Makanan
49;PR Fatima Bauw;10221;-2,1219969;133,5703058;kampung Wassowi, Bintuni Timur, Bintuni, Kabupaten Teluk Bintuni, Papua Barat;PAPUA BARAT;91;KABUPATEN TELUK BINTUNI;9104;C;Industri Pengolahan;10;Industri Makanan
50;PT Agung Jayasari Sakti;10293;-3,0728328;104,738168;jl. Raya Palembang-Prabumulih Km. 29 Indralaya, Ogan Ilir, Sumatera Selatan, Palem Raya, Indralaya Utara, Kabupaten Ogan Ilir, Sumatera Selatan;SUMATERA SELATAN;16;KABUPATEN OGAN ILIR;1610;C;Industri Pengolahan;10;Industri Makanan
51;PT Piala Seafood Indonesia;10293;-1,4685625;132,0061875;JL. PERIKANAN DISTRIK TEMINABUAN KAMPUNG TAPIRI, tapiri, TEMINABUAN, Kabupaten Sorong Selatan, Papua Barat Daya;PAPUA BARAT DAYA;92;KABUPATEN SORONG SELATAN;9203;C;Industri Pengolahan;10;Industri Makanan
52;PT Pt.dwi Bina Utama;10293;-0,8773697;131,2581073;Jl.Bubara, Ds.Klaligi, Kec.Sorong Manoi, Sorong Kota, Klaligi, Sorong Manoi, Kota Sorong, Papua Barat Daya;PAPUA BARAT DAYA;92;KOTA SORONG;9271;C;Industri Pengolahan;10;Industri Makanan
53;PR Agustina;10295;-3,0197837;106,4628688;JL. DAMAI TOBOALI, Toboali, Toboali, Kabupaten Bangka Selatan, Kepulauan Bangka Belitung;BANGKA BELITUNG;19;KABUPATEN BANGKA SELATAN;1905;C;Industri Pengolahan;10;Industri Makanan
54;PR Asri Zeintatieni;10312;-0,8922477;119,8636324;Jl. Kimaja no 38, Besusu Barat, Palu Timur, Kota Palu, Sulawesi Tengah;SULAWESI TENGAH;72;KOTA PALU;7271;C;Industri Pengolahan;10;Industri Makanan
55;PR Amplang Cakalang;10313;1,4675372;125,1791208;RT 03 RW 04 kelurahan Bitung Barat Dua kecamatan Maesa Kota Bitung, Bitung Barat  Dua, Maesa, Kota Bitung, Sulawesi Utara;SULAWESI UTARA;71;KOTA BITUNG;7172;C;Industri Pengolahan;10;Industri Makanan
56;PR Abdurohman;10391;3,1859407;106,2258578;JL. GUDANG TENGAH RINTIS, Tarempa Selatan, Siantan, Kabupaten Kepulauan Anambas, Kepulauan Riau;KEPULAUAN RIAU;21;KABUPATEN KEPULAUAN ANAMBAS;2105;C;Industri Pengolahan;10;Industri Makanan
57;PR Ahmad Arifin;10391;-1,1995129;116,852032;PERUM SIKS BLOK A SOMBER BARU NO. 1-2, Muararapak, Balikpapan  Utara, Kota Balikpapan, Kalimantan Timur;KALIMANTAN TIMUR;64;KOTA BALIKPAPAN;6471;C;Industri Pengolahan;10;Industri Makanan
58;PR Alif Pangreran Syam;10391;-3,4151111;119,3260228;JL.R.A. KARTINI PERUMAHAN RESIDENCE PESONA, Takatidung, Polewali, Kabupaten Polewali Mandar, Sulawesi Barat;SULAWESI BARAT;76;KABUPATEN POLEWALI MANDAR;7602;C;Industri Pengolahan;10;Industri Makanan
59;PR Agus Eko Priyono;10392;-7,8735795;110,2345986;Paten RT 48 RW 24 TUKSONO SENTOLO KULONPROGO, Tuksono, Sentolo, Kabupaten Kulon Progo, DI Yogyakarta;DAERAH ISTIMEWA YOGYAKARTA;34;KABUPATEN KULON PROGO;3401;C;Industri Pengolahan;10;Industri Makanan
60;PR Agus Irawan;10392;-8,3631304;114,6178146;Lingkungan Ketapang, Lelateng, Negara, Kabupaten Jembrana, Bali;BALI;51;KABUPATEN JEMBRANA;5101;C;Industri Pengolahan;10;Industri Makanan
61;PR Adrianto;10392;-1,2149972;116,8399224;Jl. AW Syahrani Komp SIKS Blok E No. 03 RT 085, Muararapak, Balikpapan  Utara, Kota Balikpapan, Kalimantan Timur;KALIMANTAN TIMUR;64;KOTA BALIKPAPAN;6471;C;Industri Pengolahan;10;Industri Makanan
62;PR Abdul Wahid;10392;1,0941381;121,2282958;Desa Air Terang, Air Terang, Tiloan, Kabupaten Buol, Sulawesi Tengah;SULAWESI TENGAH;72;KABUPATEN BUOL;7207;C;Industri Pengolahan;10;Industri Makanan
63;PR Agus Sulianto;10392;1,0941381;121,2282958;Desa Air Terang, Air Terang, Tiloan, Kabupaten Buol, Sulawesi Tengah;SULAWESI TENGAH;72;KABUPATEN BUOL;7207;C;Industri Pengolahan;10;Industri Makanan
64;PR Asyurawati;10393;5,3607473;95,9925118;DUSUN KUPULA TIJUE, Tijue, Pidie, Kabupaten Pidie, Nangroe Aceh Darussalam;ACEH;11;KABUPATEN PIDIE;1109;C;Industri Pengolahan;10;Industri Makanan
65;PR Al Farazi;10393;-0,8207589;120,0954076;Dusun II, Jono Kalora, Parigi Barat, Kabupaten Parigi Moutong, Sulawesi Tengah;SULAWESI TENGAH;72;KABUPATEN PARIGI MOUTONG;7208;C;Industri Pengolahan;10;Industri Makanan
66;PR Afikry;10393;0,5702068;123,0802232;Jl. Lupoyo, Dulomo Selatan, Kota Utara, Kota Gorontalo, Gorontalo;GORONTALO;75;KOTA GORONTALO;7571;C;Industri Pengolahan;10;Industri Makanan
67;PR Baidillah;10399;-3,6897238;102,5011247;Desa BAJAK 1, Bajak I, Taba Penanjung, Kabupaten Bengkulu Tengah, Bengkulu;BENGKULU;17;KABUPATEN BENGKULU TENGAH;1709;C;Industri Pengolahan;10;Industri Makanan
68;PR Agro Abian Salak;10399;-8,4583818;115,4980301;Br. Dinas Telaga, Sibetan, Bebandem, Kabupaten Karang Asem, Bali;BALI;51;KABUPATEN KARANG ASEM;5107;C;Industri Pengolahan;10;Industri Makanan
69;PR Anelci Sariwating;10399;-3,7098062;128,1996805;Kayu Putih, Soya, Sirimau, Kota Ambon, Maluku;MALUKU;81;KOTA AMBON;8171;C;Industri Pengolahan;10;Industri Makanan
70;PR Akar Mas Natura;10411;-8,6921473;115,1866089;Perum Graha Kencana no. 6B, Jl. Imam Bonjol, Pemecutan  Kelod, Denpasar Barat, Kota Denpasar, Bali;BALI;51;KOTA DENPASAR;5171;C;Industri Pengolahan;10;Industri Makanan
71;PT Alam Siak Lestari;10414;0,8105078;102,0443537;Jl. Tengku Buang Asmara, Kampung Rempak, Siak, Kabupaten SIAK, Riau;RIAU;14;KABUPATEN SIAK;1405;C;Industri Pengolahan;10;Industri Makanan
72;PR Ahmad Fauzi;10421;-0,7788357;103,4627375;Jalan Parit Palembang, Kuala Baru, Seberang Kota, Kabupaten Tanjung Jabung Barat, Jambi;JAMBI;15;KABUPATEN TANJUNG JABUNG BARAT;1507;C;Industri Pengolahan;10;Industri Makanan
73;PR Akmal S;10421;-2,3126136;119,1767282;Dusun Hijrah, Sampaga, Sampaga, Kabupaten Mamuju, Sulawesi Barat;SULAWESI BARAT;76;KABUPATEN MAMUJU;7604;C;Industri Pengolahan;10;Industri Makanan
74;PT AGRO MAKMUR RAYA;10422;1,4458358;125,164879;JL. BABE PELAR NO. 91, RT.009/RW.002, MADIDIR, MADIDIR KOTA, Kota Bitung, Sulawesi Utara;SULAWESI UTARA;71;KOTA BITUNG;7172;C;Industri Pengolahan;10;Industri Makanan
75;PR Asral Palompo;10422;0,5321801;123,1493949;Jl. Pasar Minggu, Tingkohubu Timur, Suwawa, Kabupaten Bone Bolango, Gorontalo;GORONTALO;75;KABUPATEN BONE BOLANGO;7504;C;Industri Pengolahan;10;Industri Makanan
76;PR Bahrudin A. Suaib;10422;0,6424309;122,817355;Jl. Trans Sulawesi, Tridharma, Pulubala, Kabupaten Gorontalo, Gorontalo;GORONTALO;75;KABUPATEN GORONTALO UTARA;7505;C;Industri Pengolahan;10;Industri Makanan
77;PR Abu Kelian;10422;-3,059218;128,1903079;Wael, Piru, Seram Barat, Kabupaten Seram Bagian Barat, Maluku;MALUKU;81;KABUPATEN SERAM BAGIAN BARAT;8106;C;Industri Pengolahan;10;Industri Makanan
78;PR Ansar Ibrahim;10422;0,6337526;127,3773456;Dokiri, desa/kelurahan Dokiri, Dokiri, Tidore Selatan, Kota Tidore Kepulauan, Maluku Utara;MALUKU UTARA;82;KOTA TIDORE KEPULAUAN;8272;C;Industri Pengolahan;10;Industri Makanan
79;PR Angelinus Nong Alberto;10423;-8,6192014;122,2058206;JL. Roka Tenda, No.3 RT.001/RW.008, Kota Uneng, Alok, Kabupaten Sikka, Nusa Tenggara Timur;NUSA TENGGARA TIMUR;53;KABUPATEN SIKKA;5310;C;Industri Pengolahan;10;Industri Makanan
80;PR Amina Hamisi;10423;0,7057393;127,5521204;SOMAHODE, Somahode, Oba Utara, Kota Tidore Kepulauan, Maluku Utara;MALUKU UTARA;82;KOTA TIDORE KEPULAUAN;8272;C;Industri Pengolahan;10;Industri Makanan
81;PT Dorei Kelapa Mandiri;10423;-1,1530024;136,068244;Jl. Kampung Baru Atas No. 88, Yafdas, Samofa, Kabupaten Biak Numfor, Papua;PAPUA;94;KABUPATEN BIAK NUMFOR;9409;C;Industri Pengolahan;10;Industri Makanan
82;PT Agro Sarimas Indonesia;10431;-0,5247942;102,914587;Jl. Lintas Rengat-Tembilahan, Desa  Sungai Gantang, Kempas, Kabupaten Indragiri Hilir, Riau;RIAU;14;KABUPATEN INDRAGIRI HILIR;1403;C;Industri Pengolahan;10;Industri Makanan
83;PT Adimulia Agrolestari;10431;0,1558264;101,2183781;DESA GUNUNG MULIA, Gunung Mulya, Gunung Sahilan, Kabupaten Kampar, Riau;RIAU;14;KABUPATEN KAMPAR;1406;C;Industri Pengolahan;10;Industri Makanan
84;PT Agro Abadi;10431;0,4155917;101,4196825;Jalan Lingkungan Desa, Lubuk Siam, Siak Hulu, Kabupaten Kampar, Riau;RIAU;14;KABUPATEN KAMPAR;1406;C;Industri Pengolahan;10;Industri Makanan
85;PT Air Kampar;10431;0,3766919;101,1621594;Jl. PTPN V - Bangkinang KM 9, Pulau Birandang, Kampa, Kabupaten Kampar, Riau;RIAU;14;KABUPATEN KAMPAR;1406;C;Industri Pengolahan;10;Industri Makanan
86;PT Anderson Unedo;10431;0,6321686;100,9656543;Jl. Raya Petapahan Dusun II, Desa Petapahan, Tapung, Kabupaten Kampar, Riau;RIAU;14;KABUPATEN KAMPAR;1406;C;Industri Pengolahan;10;Industri Makanan
87;PT Andika Permata Sawit Lestari;10431;1,133333;100,8;Desa Sontang, Desa Sontang, Bonai Darussalam, Kabupaten Rokan Hulu, Riau;RIAU;14;KABUPATEN ROKAN HULU;1407;C;Industri Pengolahan;10;Industri Makanan
88;PT Adei Plantation & Industry;10431;1,1109945;101,279653;Jl Raya Pekanbaru Km. 110 (Simpang Intan), Tengganau, Pinggir, Kabupaten Bengkalis, Riau;RIAU;14;KABUPATEN BENGKALIS;1408;C;Industri Pengolahan;10;Industri Makanan
89;PT AGRINDO INDAH PERSADA;10431;-1,9691304;102,2849585;JL.LINTAS SUMATERA KM.13, Tambang Baru, Tabir Lintas, Kabupaten Merangin, Jambi;JAMBI;15;KABUPATEN MERANGIN;1502;C;Industri Pengolahan;10;Industri Makanan
90;PT Agro Mitra Madani;10431;-1,049791;103,0970282;Jln WKS Km 11 Desa Talang Makmur, Tebing Tinggi, Tebing Tinggi, Kabupaten Tanjung Jabung Barat, Jambi;JAMBI;15;KABUPATEN TANJUNG JABUNG BARAT;1507;C;Industri Pengolahan;10;Industri Makanan
91;PT Agro Mitra Madani;10431;-1,049791;103,0970282;JL. WKS KM.11 DESA TALANG MAKMUR, TEBING TINGGI, TEBING TINGGI, Kabupaten Tanjung Jabung Barat, Jambi;JAMBI;15;KABUPATEN TANJUNG JABUNG BARAT;1507;C;Industri Pengolahan;10;Industri Makanan
92;PT Aek Tarum;10431;-3,8377412;104,9914601;Desa Sumber Baru, -, Mesuji Raya, Kabupaten Ogan Komering Ilir, Sumatera Selatan;SUMATERA SELATAN;16;KABUPATEN OGAN KOMERING ILIR;1602;C;Industri Pengolahan;10;Industri Makanan
93;PT Agro Rawas Ulu;10431;-2,6119889;102,7699902;Jl. Lintas Sumatera Sarolangun KM 99, Pasar Surulangun, Rawas Ulu, Kabupaten Musi Rawas, Sumatera Selatan;SUMATERA SELATAN;16;KABUPATEN MUSI RAWAS;1605;C;Industri Pengolahan;10;Industri Makanan
94;PT Andira Agro;10431;-2,7911718;105,0942902;Dusun Teluk Naning, Karang Anyar, Muara Padang, Kabupaten Banyu Asin, Sumatera Selatan;SUMATERA SELATAN;16;KABUPATEN BANYU ASIN;1607;C;Industri Pengolahan;10;Industri Makanan
95;PT Anugrah Djam Sawit Lestari;10431;-2,9239925;104,4521833;Jalan Palembang Betung km65, , , Kabupaten Banyu Asin, Sumatera Selatan;SUMATERA SELATAN;16;KABUPATEN BANYU ASIN;1607;C;Industri Pengolahan;10;Industri Makanan
96;PT BENGKULU SAWIT LESTARI;10431;-4,5301333;103,0760273;Jalan Raya Manna-Bintuhan, Air Sulau, Kedurang Ilir, Kabupaten Bengkulu Selatan, Bengkulu;BENGKULU;17;KABUPATEN BENGKULU SELATAN;1701;C;Industri Pengolahan;10;Industri Makanan
97;PT Agricinal;10431;-3,216344;101,6214657;DESA PASAR SEBELAT, -, PUTRI HIJAU, Kabupaten Bengkulu Utara, Bengkulu;BENGKULU;17;KABUPATEN BENGKULU UTARA;1703;C;Industri Pengolahan;10;Industri Makanan
98;PT Anugerah Pelangi Sukses;10431;-4,562281;103,1077271;Desa Beriang Tinggi, Beriang Tinggi, Tanjung Kemuning, Kabupaten Kaur, Bengkulu;BENGKULU;17;KABUPATEN KAUR;1704;C;Industri Pengolahan;10;Industri Makanan
99;PT Agri Andalas;10431;-3,8828024;102,3344745;JL. SIMPANG TIGA PASAR NGALAM, DERMAYU, AIR PERIUKAN, Kabupaten Seluma, Bengkulu;BENGKULU;17;KABUPATEN SELUMA;1705;C;Industri Pengolahan;10;Industri Makanan
100;PT Agrindo Indah Persada;10431;-4,0103777;102,500263;Jl. Lintas Bengkulu  Manna KM 45 Desa Tumbuan, Desa Tumbuan, Lubuk Sandi, Kabupaten Seluma, Bengkulu;BENGKULU;17;KABUPATEN SELUMA;1705;C;Industri Pengolahan;10;Industri Makanan
101;PT Agra Sawitindo;10431;-3,7631786;102,4008079;JL. RAYA BENGKULU - CURUP KM 20, UJUNG KARANG, KARANG TINGGI, Kabupaten Bengkulu Tengah, Bengkulu;BENGKULU;17;KABUPATEN BENGKULU TENGAH;1709;C;Industri Pengolahan;10;Industri Makanan
102;PT Asia Artha Perkasa;10431;-4,8654299;105,4239991;Desa Sumber Bahagia 1, Sumber Bahagia, Seputih Banyak, Kabupaten Lampung Tengah, Lampung;LAMPUNG;18;KABUPATEN LAMPUNG TENGAH;1805;C;Industri Pengolahan;10;Industri Makanan
